"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716800","Monograph","Language material ; Text","Volume","GBA2X2330","9780747560722","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2002","Large print edition","506 pages (large print), 25 cm","823.914","LT.2013.x.4132","Children's fiction ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716801","Monograph","Language material ; Text","Volume","GBA2X2329","9780747560777","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2002","Large print edition","640 pages (large print), 25 cm","823.914","LT.2013.x.2380","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716802","Monograph","Language material ; Text","Volume","GBA2X2328","9780747560821","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2002","Large print edition","1088 pages (large print), illustrations, 24 cm","823.914","LT.2013.x.1950","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716809","Monograph","Language material ; Text","Volume","GBA4X8996","9780747561071","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2004","","766 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007717004","Monograph","Language material ; Text","Volume","GBA3V2644","9780747569619","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Special edition","1 volume","823.914","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007978627","Monograph","Language material ; Text","Volume","","9789667047405","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Nehrebet︠s︡ʹkyĭ, Oleksa [person] ; Andrukhovych, Sofii︠a︡, 1982- [person] ; Morozov, Viktor [person] ; Malkovych, Ivan, 1961- [person]","Harri Potter i kelykh vohni︠u︡","Harry Potter and the goblet of fire. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","669 pages, 21 cm","","YA.2003.a.41307","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009721120","Monograph","Language material ; Text","Volume","GBA0V0504","9781903111185","","Gillatt, Gary","","person","","Gillatt, Gary [person]","The magical world of Harry Potter : the unauthorised guide to the adventures of Harry Potter","","","","England","Richmond","Reynolds & Hearn","2001","","160 pages, illustrations, 20 cm","823.914","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893249","Monograph","Language material ; Text","Volume","","9780439136358","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","United States of America","New York","Arthur A. Levine","1999","","ix, 435 pages, illustrations, 24 cm","","YA.2000.a.7023","Children's fiction","English","Sequel to: Harry Potter and the Chamber of Secrets"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893251","Monograph","Language material ; Text","Volume","","9780590353403","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the sorcerer's stone","Harry Potter and the philosopher's stone","","","United States of America","New York","A.A. Levine","1998","","vi, 309 pages, illustrations, 24 cm","","YA.2000.a.7024","Children's fiction","English","Sequel: Harry Potter and the Chamber of Secrets"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893970","Monograph","Language material ; Text","Volume","","9780439064866","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","United States of America","New York","Arthur A. Levine","1999","","341 pages, illustrations, 24 cm","","YA.2000.a.15899","Children's fiction ; Fantasy","English","Originally published: London : Bloomsbury, 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010089956","Monograph","Language material ; Text","Volume","GB99Y5741","9780747542155","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","1999","","317 pages, 21 cm","823.914","Nov.1999/940","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090019","Monograph","Language material ; Text","Volume","GB99Y5738","9780747544074","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","1999","","251 pages, 20 cm","823.914","H.2000/1727","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090075","Monograph","Language material ; Text","Volume","GB9961532","9780747545118","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","1999","","317 pages, 21 cm","823.914","C.194.b.216","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090222","Monograph","Language material ; Text","Volume","GBA123175","9780747549710","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2000","","636 pages, 25 cm","823.914","Nov.2001/656","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090389","Monograph","Language material ; Text","Volume","GBA137761","9780747554424","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","Harry Potter series","","England","London","Bloomsbury","2001","","796 pages, 18 cm","823.914","H.2001/2959","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090629","Monograph","Language material ; Text","Volume","GBA339558","9780747561965 ; 9781582348254","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Needham, Peter [person]","Harrius Potter et philosophi lapis","Harry Potter and the philosopher's stone. Latin","","","England","London","Bloomsbury","2003","","249 pages, 21 cm","823.914","Nov.2003/952","Children's fiction ; Fantasy","Latin",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090758","Monograph","Language material ; Text","Volume","GBA3X7384","9780747569404","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the order of the phoenix","","","","England","London","Bloomsbury","2003","","766 pages, 21 cm","823.914","Nov.2003/1359","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010268925","Monograph","Language material ; Text","Volume","GBB0D2787","9780747569602","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Large print edition","1520 pages (large print), 25 cm","823.914","LT.2010.x.3629","Children's fiction ; Fantasy ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012266171","Monograph","Language material ; Text","Volume","GBA2Z5833","9780563533603","","","","","","","Harry Potter transfiguration book : with magical changing pictures","","","","England","London","BBC Children's","2002","","10 pages, colour illustrations, 25 cm","823.914","CLE.4/2002.b.21","Children's fiction ; Toy or moveable book","English","Lift the flap"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012283123","Monograph","Language material ; Text","Volume","GBA0V9472","9781585980734","","","","","","","Harry Potter collectables","","","","England","","Checkerbee","2000","","160 pages","823.914","","","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012880160","Monograph","Language material ; Text","Volume","GBA4X0860","9780747568971 ; 9781582348261","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2004","","","823.914","","Children's fiction ; Fantasy","Greek, Ancient (to 1453)",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012880167","Monograph","Language material ; Text","Volume","GBA4X0853","9780747571667 ; 9781582348285","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter agus an órchloch","Harry Potter and the philosopher's stone. Irish","","","England","Londain ; Nua-Eabhrac","Bloomsbury","2004","Leagan Gaeilge","262 pages, 21 cm","823.914","YK.2006.a.11050","Children's fiction ; Fantasy","Irish","Originally published [in English] : 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943214","Monograph","Language material ; Text","Volume","GBA448096","9780747574477","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2004","","332 pages, 18 cm","823.914","H.2005/1621","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943216","Monograph","Language material ; Text","Volume","GBA448098","9780747574491","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2004","","468 pages, 18 cm","823.914","H.2005/1743","Children's fiction ; Fantasy","English","Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943217","Monograph","Language material ; Text","Volume","GBA448099","9780747574507","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2004","","796 pages, 18 cm","823.914","H.2006/288","Children's fiction ; Fantasy","English",""
